,Adjacent Transpositions,Two Gap Swaps,Adjacent Swaps,One Gap Swaps,One Region Inversions,Two Region Inversions,All Inversions
0,17.68168337,7.058979187,101.9900001,22.36437355,NA,20.18634306,17.70144573
1,13.51378637,101.9900001,101.9900001,22.36437355,NA,26.72030907,35.3531144
2,24.98784139,7.534178433,101.9900001,NA,NA,22.18616376,17.6519063
3,22.40390364,24.05721146,101.9900001,NA,NA,22.18616376,6.70251991
4,16.84011113,NA,NA,NA,NA,55.77680691,6.70251991
5,11.71191451,NA,NA,NA,NA,28.79935645,45.76799229
6,11.40505163,NA,NA,NA,NA,28.79935645,25.88877311
7,11.40505163,NA,NA,NA,NA,21.42385103,29.56161359
8,7.306459156,NA,NA,NA,NA,21.42385103,35.84813523
9,16.81046092,NA,NA,NA,NA,96.21834672,16.96887997
10,6.771805869,NA,NA,NA,NA,39.89726902,15.15712923
11,24.11661913,NA,NA,NA,NA,87.40736392,10.78130335
12,8.979542667,NA,NA,NA,NA,101.9900001,20.14673534
13,12.30594231,NA,NA,NA,NA,30.3239868,41.45150637
14,22.17623067,NA,NA,NA,NA,53.80679315,42.17420109
15,20.76053052,NA,NA,NA,NA,62.43956495,15.99867439
16,20.65164261,NA,NA,NA,NA,83.8433516,14.62259986
17,13.5830861,NA,NA,NA,NA,67.37965179,14.33546986
18,13.5830861,NA,NA,NA,NA,80.90300395,25.83920953
19,13.34541689,NA,NA,NA,NA,29.28446394,29.56161359
20,13.34541689,NA,NA,NA,NA,31.78914979,31.22489682
21,20.47343875,NA,NA,NA,NA,20.28532101,31.22489682
22,7.068879881,NA,NA,NA,NA,35.37296939,25.62146565
23,26.75005581,NA,NA,NA,NA,26.15604022,35.84813523
24,11.18723583,NA,NA,NA,NA,16.77085309,40.70905884
25,17.36485506,NA,NA,NA,NA,61.06344597,36.4025537
26,11.15750323,NA,NA,NA,NA,23.94830402,29.66061416
27,13.52369116,NA,NA,NA,NA,35.19471841,18.99836269
28,11.30603327,NA,NA,NA,NA,51.03476642,19.58247054
29,7.009443927,NA,NA,NA,NA,35.96691083,25.33438965
30,8.860785822,NA,NA,NA,NA,31.86834736,15.99867929
31,22.68112779,NA,NA,NA,NA,75.47786612,15.99867929
32,16.33528509,NA,NA,NA,NA,48.82704412,23.33452497
33,22.11684991,NA,NA,NA,NA,36.94702637,27.59158133
34,20.66156372,NA,NA,NA,NA,74.27003338,43.52062195
35,12.73162188,NA,NA,NA,NA,60.80608641,25.70068453
36,13.94931097,NA,NA,NA,NA,10.76150569,12.92962235
37,21.52280392,NA,NA,NA,NA,16.81048795,14.61267621
38,11.20708484,NA,NA,NA,NA,33.70972371,24.95812639
39,23.88898642,NA,NA,NA,NA,28.74982201,8.633062636
40,9.425029705,NA,NA,NA,NA,NA,6.801579021
41,23.81969973,NA,NA,NA,NA,NA,8.910236523
42,22.50294861,NA,NA,NA,NA,NA,8.910236523
43,7.217374757,NA,NA,NA,NA,NA,40.97638403
44,9.92994183,NA,NA,NA,NA,NA,38.92709404
45,22.12672837,NA,NA,NA,NA,NA,25.70068453
46,18.32515355,NA,NA,NA,NA,NA,32.99690634
47,25.98771726,NA,NA,NA,NA,NA,46.71832135
48,15.82046292,NA,NA,NA,NA,NA,16.00853883
49,23.86911336,NA,NA,NA,NA,NA,16.98869545
50,25.52244638,NA,NA,NA,NA,NA,32.7593679
51,5.247262902,NA,NA,NA,NA,NA,16.53321815
52,5.247262902,NA,NA,NA,NA,NA,35.0858264
53,13.22665233,NA,NA,NA,NA,NA,26.66090741
54,10.00910615,NA,NA,NA,NA,NA,NA
55,20.47343875,NA,NA,NA,NA,NA,NA
56,17.3945161,NA,NA,NA,NA,NA,NA
57,19.88938553,NA,NA,NA,NA,NA,NA
58,22.74055386,NA,NA,NA,NA,NA,NA
59,22.74055386,NA,NA,NA,NA,NA,NA
60,15.077912,NA,NA,NA,NA,NA,NA
